,Title,Location,Company,Salary,Describtion,Rating,long,lat
17,Topological Data Analyst Intern,"Dayton, Oh",KBR,41600.0,"We are currently seeking students (undergrad, masters, or Ph.D) or recently graduated individuals (within 1 year with similar degrees) who have a background in…",4.1,-84.1916069,39.7589478
18,ITS DevOps Engineer Intern (4920),"Oakland, Ca 94607 (Acorn-Acorn Industrial Area)",University of California Office of the President,41600.0,The junior DevOps engineer (JDE) intern will learn the best practices of infrastructure as code by creating documented and tested libraries to support and…,4.1,-122.2873638,37.8012895
19,ITS DevOps Engineer Intern (4920),"Oakland, Ca 94607 (Acorn-Acorn Industrial Area)",University of California Office of the President,41600.0,Appointment Type: Staff - Casual Restricted.The junior DevOps engineer (JDE) intern will learn the best practices of infrastructure as code by creating…,4.1,-122.2873638,37.8012895
20,ITS Web Development Intern (4920),"Oakland, Ca 94607 (Acorn-Acorn Industrial Area)",University of California Office of the President,41600.0,Appointment Type: Staff - Casual Restricted.The Application Engineering unit provides UCOP departments with everything needed to build and manage static…,4.1,-122.2873638,37.8012895
21,ITS Web Development Intern (4920),"Oakland, Ca 94607 (Acorn-Acorn Industrial Area)",University of California Office of the President,41600.0,Evaluates basic software for functional improvements.Analyzes and/or researches existing software for functional or technical improvement.,4.1,-122.2873638,37.8012895
22,2020 SUMMER IT STUDENT INTERN - TEMPORARY,"Cary, Nc","Town of Cary, NC",31200.0,Making certain the network hardware and software are functional and operating reliably using various network monitoring tools;,3.7,-78.7811169,35.79154
23,IT Intern,"Chicago, Il 60603 (The Loop Area)",Sidley Austin LLP,41600.0,The IT intern must have a class schedule that allows them to work at least 19 hours across a week for at least six months or until graduation or business needs…,4.3,-87.63116199999999,41.8792487
24,IT Intern,"Farmington Hills, Mi 48331","Alliance Inspection Management, LLC",31200.0,Alliance Inspection Management (AiM)is the premier new and pre-owned vehicle inspection partnership in North America that combines breakthrough technology with…,3.1,-83.41098339999999,42.508645
25,Administrative Intern (BEST),"Downey, Ca",Los Angeles County Office of Education,36961.6,"Under immediate supervision, participates as an intern performing administrative, logistical, and clerical duties for an enterprise business system…",4.1,-118.1331593,33.9401088
26,Information Technology Summer Intern,"Columbia, Sc 29223",State of South Carolina,22880.0,**This position will be used to fill a summer internship position in the Department of Transportation Headquarters building in the Finance and Administration…,2.9,-80.92077370000001,34.1058378
27,Undergraduate Internship/Co-op Program - Computer Science,"Washington, Dc",Central Intelligence Agency,46633.60000000001,"As a Computer Science undergraduate student for the CIA, you will work on teams alongside our full-time officers in an R&D or quick-turnaround environment on…",4.3,-77.0368707,38.9071923
28,FALL INTERN - SUSTAINABILITY,"Phoenix, Az",State of Arizona,31200.0,"Our interns shadow our subject-matter experts and work alongside them by: working in the field for water and air sampling, designing computer modeling software,…",3.5,-112.0740373,33.4483771
29,IT Intern,"Farmington Hills, Mi 48331","Alliance Inspection Management, LLC",31200.0,"Work with existing IT staff in providing assistance in software development, creating test plans and other project direction.Unit test all developed modules.",3.1,-83.41098339999999,42.508645
30,Intern - Florida Prepaid College Board,"Tallahassee, Fl",Florida State Board of Administration,31200.0,The Florida Prepaid College Board is currently seeking an intern for the Fall 2020 semester.The Florida Prepaid College Board (Board) administers two Qualified…,4.5,-84.28073289999999,30.4382559
